t,reproj_rms_px,reproj_feats
60.9155,9.12178,11
60.9823,12.6938,4
61.049,8.47896,11
61.1157,9.20331,8
61.1825,3.38455,4
61.2492,4.57216,16
61.3159,10.5549,4
61.3827,7.27637,25
61.4494,4.27653,13
61.5161,5.37715,10
61.5829,2.61935,9
61.6496,3.48492,10
61.7163,3.09826,4
61.7831,4.62272,35
61.8498,3.96339,6
61.9165,5.66536,2
61.9833,5.04608,19
62.05,5.63202,7
62.1167,4.23129,15
62.1835,5.74435,4
62.2502,1.98466,10
62.3169,4.24054,12
62.3837,4.24054,12
62.4504,3.46897,7
62.5171,3.28224,20
62.5839,2.84727,15
62.6506,2.83377,44
62.7173,3.20885,7
62.7841,2.84081,15
62.8508,2.84081,15
62.9175,3.09279,15
62.9843,1.52734,0
63.051,2.43141,13
63.1177,1.17326,8
63.1845,2.27236,19
63.2512,3.25828,38
63.3179,3.18632,14
63.3847,2.69877,11
63.4514,3.49579,61
63.5181,3.09509,28
63.5849,3.70562,53
63.6516,4.43439,21
63.7183,3.94851,11
63.7851,3.71429,43
63.8518,3.01843,52
63.9185,3.3865,18
63.9853,4.08703,5
64.052,5.36257,36
64.1187,3.64286,28
64.1855,3.54843,19
64.2522,4.35407,11
64.3189,2.26619,18
64.3857,4.64743,19
64.4524,3.90347,47
64.5191,3.85608,25
64.5859,6.16048,1
64.6526,3.73228,7
64.7193,1.63374,6
64.7861,3.39872,24
64.8528,1.66855,16
64.9195,2.67766,26
64.9863,2.4291,28
65.053,3.22754,29
65.1197,1.32366,31
65.1865,2.93653,87
65.2532,2.67228,44
65.3199,3.24335,42
65.3867,5.04441,44
65.4534,6.23197,114
65.5201,10.5827,76
65.5869,7.13989,80
65.6536,8.4308,43
65.7203,10.7111,59
65.7871,8.48524,95
65.8538,8.89518,45
65.9205,9.92004,41
65.9873,11.1343,83
66.054,11.3468,54
66.1207,13.9357,37
66.1875,15.2114,23
66.2542,7.05015,8
66.3209,14.4459,20
66.3877,15.2855,26
66.4544,10.3473,25
66.5211,11.7063,3
66.5879,9.59379,15
66.6546,7.5975,16
66.7213,11.6576,11
66.7881,12.4329,27
66.8548,13.2253,7
66.9215,10.2413,17
66.9883,8.10122,14
67.055,4.8974,14
67.1217,8.58634,4
67.1885,8.78024,18
67.2552,4.73857,6
67.3219,4.19853,8
67.3887,10.0468,0
67.4554,10.8817,19
67.5221,6.53106,5
67.5889,9.54869,13
67.6556,8.05896,10
67.7223,8.15923,7
67.7891,7.95469,2
67.8558,7.05641,5
67.9225,7.72698,4
67.9893,8.03169,6
68.056,6.59935,15
68.1227,3.09598,9
68.1895,2.22615,6
68.2562,2.45236,6
68.3229,2.38279,29
68.3897,2.12058,29
68.4564,3.18648,6
68.5231,2.59445,21
68.5899,2.96466,13
68.6566,2.71025,12
68.7233,2.83216,51
68.7901,2.06183,22
68.8568,3.12207,38
68.9235,2.67902,44
68.9903,2.37336,56
69.057,1.84931,48
69.1237,1.70853,24
69.1905,2.66003,77
69.2572,2.8204,68
69.3239,3.16172,95
69.3907,4.52293,32
69.4574,3.91226,89
69.5241,2.93532,29
69.5909,5.21074,25
69.6576,4.28356,55
69.7243,5.92353,72
69.7911,8.43352,126
69.8578,6.18757,24
69.9245,4.58875,2
69.9913,10.4716,7
70.058,7.21145,5
70.1247,11.0134,40
70.1915,8.82677,22
70.2582,4.09092,7
70.3249,7.33105,1
70.3917,11.1653,16
70.4584,10.1962,4
70.5251,7.13652,13
70.5919,5.31172,7
70.6586,4.68266,10
70.7253,4.68266,10
70.7921,3.55173,20
70.8588,2.8091,4
70.9255,5.10097,19
70.9923,2.76724,6
71.059,4.30795,32
71.1257,4.47683,6
71.1925,1.83213,1
71.2592,3.24865,6
71.3259,2.28372,10
71.3927,2.28372,10
71.4594,2.09981,4
71.5261,3.00747,10
71.5929,4.29888,31
71.6596,3.27166,19
71.7263,2.83191,26
71.7931,2.51786,29
71.8598,3.66581,22
71.9265,1.80246,23
71.9933,2.57653,18
72.06,2.51226,11
72.1267,3.75934,2
72.1935,3.24918,3
72.2602,3.12317,41
72.3269,2.38426,34
72.3937,2.80322,44
72.4604,3.53014,45
72.5271,4.81659,33
72.5939,2.30568,28
72.6606,2.24883,11
72.7273,3.82319,35
72.7941,3.8602,27
72.8608,3.76762,22
72.9275,5.08774,67
72.9943,4.50115,48
73.061,5.0937,25
73.1277,3.41911,61
73.1945,3.07116,39
73.2612,4.1905,66
73.3279,3.82969,40
73.3947,3.40506,20
73.4614,2.64497,8
73.5281,2.80047,6
73.5949,3.35212,14
73.6616,4.49801,7
73.7283,4.46475,2
73.7951,3.94647,32
73.8618,3.0582,42
73.9285,3.03705,18
73.9953,2.80216,4
74.062,3.51963,73
74.1287,4.11752,25
74.1955,4.55283,33
74.2622,4.48285,24
74.3289,4.38745,24
74.3957,3.07423,29
74.4624,3.97378,103
74.5291,3.20328,25
74.5959,3.15872,7
74.6626,1.3268,8
74.7293,1.64881,49
74.7961,2.66096,55
74.8628,1.84908,12
74.9295,1.84908,12
74.9963,2.83896,30
75.063,2.36352,4
75.1297,3.56939,11
75.1965,3.75182,10
75.2632,2.74984,4
75.3299,2.6092,7
75.3967,2.01178,15
75.4634,2.18277,29
75.5301,2.51559,13
75.5969,3.19833,6
75.6636,3.19833,6
75.7303,1.8553,22
75.7971,2.93028,9
75.8638,5.62651,9
75.9305,3.68352,32
75.9973,3.31177,14
76.064,3.6383,29
76.1307,6.8659,53
76.1975,6.3806,27
76.2642,6.43451,26
76.3309,9.03672,22
76.3977,11.3936,4
76.4644,9.80989,22
76.5311,7.99955,18
76.5979,8.27817,33
76.6646,8.4511,6
76.7313,11.5005,10
76.7981,5.64354,13
76.8648,4.72277,16
76.9315,4.72277,16
76.9983,6.30404,8
77.065,2.9136,10
77.1317,5.15848,10
77.1985,3.02985,2
77.2652,1.488,1
77.3319,2.90984,20
77.3987,2.78613,10
77.4654,2.74916,14
77.5321,2.98453,15
77.5989,3.56802,24
77.6656,2.94866,21
77.7323,2.63884,4
77.7991,2.5959,3
77.8658,3.00983,2
77.9325,2.95706,27
77.9993,2.87366,48
78.066,3.7781,7
78.1327,5.15838,5
78.1995,4.0563,14
78.2662,3.47862,25
78.3329,4.01356,30
78.3997,2.96581,20
78.4664,2.79778,33
78.5331,1.56441,2
78.5999,2.13223,22
78.6666,2.13223,22
78.7333,2.70362,2
78.8001,4.47476,1
78.8668,2.83268,9
78.9335,3.65543,0
79.0003,3.72002,7
79.067,2.75605,4
79.1337,4.69147,3
79.2005,5.37458,1
79.2672,3.11479,19
79.3339,3.37327,9
79.4007,4.11105,17
79.4674,4.57766,36
79.5341,3.82056,36
79.6009,7.81395,10
79.6676,3.1817,28
79.7343,4.16377,53
79.8011,6.27169,17
79.8678,7.92306,34
79.9345,9.06794,38
80.0013,6.83112,2
80.068,7.89165,12
80.1347,5.80495,10
80.2015,5.35352,37
80.2682,5.35218,31
80.3349,2.51308,3
80.4017,3.73015,30
80.4684,4.69717,15
80.5351,4.83052,31
80.6019,4.98265,26
80.6686,5.51868,33
80.7353,3.85063,47
80.8021,4.19019,29
80.8688,3.07193,14
80.9355,3.32006,7
81.0023,3.35652,26
81.069,0.972984,4
81.1357,2.7754,5
81.2025,4.97139,32
81.2692,3.35841,33
81.3359,2.81781,27
81.4027,2.87417,14
81.4694,2.29726,17
81.5361,3.42437,15
81.6029,3.3768,31
81.6696,2.6272,22
81.7363,3.57955,8
81.8031,3.95739,7
81.8698,4.42417,7
81.9365,2.25817,4
82.0033,2.25817,4
82.07,3.08879,7
82.1367,2.70827,5
82.2035,2.27762,11
82.2702,2.37003,14
82.3369,2.83809,15
82.4037,2.34598,8
82.4704,3.792,25
82.5371,3.18262,30
82.6039,3.37046,43
82.6706,3.05508,45
82.7373,2.66942,5
82.8041,2.56476,13
82.8708,1.76795,5
82.9375,2.26143,8
83.0043,2.44817,25
83.071,3.8114,4
83.1377,3.50992,21
83.2045,2.09042,20
