frame,x,y,z
7.370000000000000000e+02,3.397353929642750181e+00,7.403536181470283806e-01,-6.231763746959252392e-01
7.450000000000000000e+02,3.392057998250473716e+00,7.264206915660884611e-01,-4.197058072604266665e-01
7.530000000000000000e+02,3.409189936698856283e+00,6.843285931549686341e-01,-2.046185110336467272e-01
7.610000000000000000e+02,3.417037799856470492e+00,6.612367173477670113e-01,2.568746075401318746e-02
7.690000000000000000e+02,3.402414121800074298e+00,6.505225568441439510e-01,2.493851509114387299e-01
7.770000000000000000e+02,3.360932769775212936e+00,6.050846536254691488e-01,4.566578004010366509e-01
7.850000000000000000e+02,3.308777958742814995e+00,5.731418980309347377e-01,6.682494605500987062e-01
7.930000000000000000e+02,3.219113461132096177e+00,5.400963605649559129e-01,8.705305090150747827e-01
8.010000000000000000e+02,3.103466228909928404e+00,4.715723392532480407e-01,1.048830169354244335e+00
8.090000000000000000e+02,2.957080868827886011e+00,4.238022916793173778e-01,1.202357804337655489e+00
8.170000000000000000e+02,2.782915751047655206e+00,4.001150890275526062e-01,1.326367936205263387e+00
8.250000000000000000e+02,2.606830003581685595e+00,3.340617521351548214e-01,1.415386473453423832e+00
8.330000000000000000e+02,2.411890126234671250e+00,2.906864153105769843e-01,1.481295688389965504e+00
8.410000000000000000e+02,2.200399286672225507e+00,2.527152399748729961e-01,1.529031304048144246e+00
8.490000000000000000e+02,1.982062897718647410e+00,1.749517553322008367e-01,1.562810405179048567e+00
8.570000000000000000e+02,1.759888471916221997e+00,1.306490092540365522e-01,1.559512990271069821e+00
8.650000000000000000e+02,1.562442075825656751e+00,1.220587931758464334e-01,1.493216230043527215e+00
8.730000000000000000e+02,1.367979962592452248e+00,8.264313774760614906e-02,1.391606984283051185e+00
8.810000000000000000e+02,1.183017948208210157e+00,7.003741769682361729e-02,1.284121060683293791e+00
8.890000000000000000e+02,9.833794053890484443e-01,5.124335103857990265e-02,1.185019929879992606e+00
8.970000000000000000e+02,8.026933012951293911e-01,8.572732563023184940e-03,1.082644226039083168e+00
9.050000000000000000e+02,6.435809587972478596e-01,6.496405820272799572e-03,9.636943737289799250e-01
9.130000000000000000e+02,5.136709437674620293e-01,5.756859876901102534e-03,8.543474190519378952e-01
9.210000000000000000e+02,4.040533882226314266e-01,-6.428878473240032948e-03,7.122076659320975001e-01
9.290000000000000000e+02,3.088399271733769935e-01,-1.185230897439395852e-02,5.614444132408413779e-01
9.370000000000000000e+02,2.346431503134897012e-01,9.072825250206813675e-04,4.188479189818831161e-01
9.450000000000000000e+02,1.995382196799306562e-01,1.361511632161295331e-02,3.005079565893839511e-01
9.530000000000000000e+02,1.845723111333661404e-01,2.732235522610816994e-02,1.736030517159679876e-01
9.610000000000000000e+02,1.766021543857794196e-01,6.107878616661787524e-02,-1.183149093545145247e-02
9.690000000000000000e+02,1.713699497548766271e-01,7.072551279485493614e-02,-2.469579806866346872e-01
9.770000000000000000e+02,1.537022798430082438e-01,9.086929094430115650e-02,-4.432332133850631628e-01
9.850000000000000000e+02,9.294706142257180836e-02,9.772821193729040734e-02,-5.988895048378334307e-01
9.930000000000000000e+02,-2.536740737748910748e-02,7.445050629659505370e-02,-7.122895352572208294e-01
1.001000000000000000e+03,-1.393534599613631964e-01,5.932023841603574488e-02,-8.087854746014213614e-01
1.009000000000000000e+03,-2.614077985771683377e-01,5.364824340755784682e-02,-9.079523793605942528e-01
1.017000000000000000e+03,-3.699808380132754704e-01,5.256970647918850909e-02,-9.972203872276583780e-01
1.025000000000000000e+03,-4.846217641449691027e-01,5.016705970854802576e-02,-1.072480748020176788e+00
1.033000000000000000e+03,-6.024429149509192838e-01,6.798491164672117171e-02,-1.122744954045685306e+00
1.041000000000000000e+03,-7.675846017366431129e-01,8.929975098043198278e-02,-1.145583193499268848e+00
1.049000000000000000e+03,-9.759730103132887580e-01,1.001504369658649807e-01,-1.160278410971944840e+00
1.057000000000000000e+03,-1.167481896173550693e+00,1.106270247305316812e-01,-1.187670362009297209e+00
1.065000000000000000e+03,-1.345350484874132890e+00,1.231301444206174406e-01,-1.236357893586374601e+00
1.073000000000000000e+03,-1.506785592383139027e+00,8.378892438105207952e-02,-1.290716697632451559e+00
1.081000000000000000e+03,-1.653126302224376065e+00,3.351509988377392862e-02,-1.339107641773552348e+00
1.089000000000000000e+03,-1.847015714721602642e+00,-2.176874240938228913e-02,-1.399880920274678919e+00
1.097000000000000000e+03,-2.046665591301750187e+00,-1.336611129769402773e-01,-1.458553188677312651e+00
1.105000000000000000e+03,-2.223776369455359170e+00,-2.272828797091380471e-01,-1.512975311911873622e+00
1.113000000000000000e+03,-2.396196183317182093e+00,-2.906739356272477481e-01,-1.574726161029157634e+00
1.121000000000000000e+03,-2.581919102906160113e+00,-3.609051293409804018e-01,-1.638087415191407992e+00
1.129000000000000000e+03,-2.794673589829384852e+00,-3.976946765398730044e-01,-1.688490341701704311e+00
1.137000000000000000e+03,-3.011431227899489915e+00,-4.247793389556870358e-01,-1.708358133295668324e+00
1.145000000000000000e+03,-3.232256233307927218e+00,-4.867196911046297036e-01,-1.731360128800442988e+00
1.153000000000000000e+03,-3.468102270816873389e+00,-5.282564977190203903e-01,-1.782827077070409993e+00
1.161000000000000000e+03,-3.679676473326149111e+00,-5.456453281695466950e-01,-1.863713028161539942e+00
1.169000000000000000e+03,-3.879392929871258389e+00,-5.776186223560018096e-01,-1.980634745733494961e+00
1.177000000000000000e+03,-4.067913573711186892e+00,-5.838653716545796346e-01,-2.120995022266861874e+00
1.185000000000000000e+03,-4.210765038080770850e+00,-5.863619299832882881e-01,-2.273642794473974327e+00
1.193000000000000000e+03,-4.315903532203243742e+00,-5.954851048549538728e-01,-2.465192113694003151e+00
1.201000000000000000e+03,-4.393278827281768883e+00,-5.663808715245239878e-01,-2.674856766085499604e+00
1.209000000000000000e+03,-4.431150470083213833e+00,-5.408414709647352270e-01,-2.898194811480858224e+00
1.217000000000000000e+03,-4.465972834382855083e+00,-5.309746134840263032e-01,-3.130319992073907542e+00
1.225000000000000000e+03,-4.479245245060242908e+00,-4.942435452423880604e-01,-3.343131840598745352e+00
1.233000000000000000e+03,-4.485284418494121184e+00,-4.667192473137677378e-01,-3.571422035053383404e+00
1.241000000000000000e+03,-4.484867419334548799e+00,-4.469213835408063495e-01,-3.781904539293048373e+00
1.249000000000000000e+03,-4.462572425456087899e+00,-4.071294862789565649e-01,-3.969554897984777675e+00
1.257000000000000000e+03,-4.404750238634967729e+00,-3.751912241660218528e-01,-4.137973247030005908e+00
