t,reproj_rms_px,reproj_feats
64.5859,2.1871,5
64.6526,2.1871,5
64.7193,2.1871,5
64.7861,2.1871,5
64.8528,2.1871,5
64.9195,2.1871,5
64.9863,2.1871,5
65.053,2.1871,5
65.1197,2.1871,5
65.1865,2.1871,5
65.2532,2.1871,5
65.3199,7.31346,4
65.3867,1.80578,1
65.4534,1.80578,1
65.5201,0.568816,0
65.5869,18.5393,1
65.6536,4.19256,1
65.7203,18.3649,1
65.7871,18.3649,1
65.8538,4.51897,2
65.9205,18.3351,2
65.9873,7.86016,2
66.054,9.75802,1
66.1207,11.2305,1
66.1875,19.3006,6
66.2542,8.61697,2
66.3209,16.2273,5
66.3877,15.203,6
66.4544,11.0344,4
66.5211,3.73989,2
66.5879,9.92504,3
66.6546,10.2997,2
66.7213,16.0498,0
66.7881,5.00413,1
66.8548,18.542,1
66.9215,10.5507,2
66.9883,11.1596,1
67.055,12.749,2
67.1217,12.749,2
67.1885,4.35077,1
67.2552,6.02035,0
67.3219,6.02035,0
67.3887,7.01986,2
67.4554,8.75476,0
67.5221,8.75476,0
67.5889,6.35615,1
67.6556,9.70351,5
67.7223,8.0743,6
67.7891,8.0743,6
67.8558,7.13298,0
67.9225,7.13298,0
67.9893,7.13298,0
68.056,7.13298,0
68.1227,7.13298,0
68.1895,3.93382,0
68.2562,3.93382,0
68.3229,4.05659,2
68.3897,4.05659,2
68.4564,4.05659,2
68.5231,4.12395,1
68.5899,6.41356,2
68.6566,2.66883,0
68.7233,2.66883,0
68.7901,0.73435,1
68.8568,0.73435,1
68.9235,0.73435,1
68.9903,0.73435,1
69.057,3.69794,0
69.1237,4.14353,3
69.1905,4.14353,3
69.2572,4.14353,3
69.3239,4.14353,3
69.3907,4.14353,3
69.4574,4.14353,3
69.5241,4.14353,3
69.5909,4.14353,3
69.6576,4.14353,3
69.7243,4.14353,3
69.7911,4.14353,3
69.8578,4.14353,3
69.9245,4.14353,3
69.9913,4.14353,3
70.058,4.14353,3
70.1247,4.14353,3
70.1915,4.14353,3
70.2582,4.14353,3
70.3249,4.14353,3
70.3917,17.5361,0
70.4584,17.5361,0
70.5251,7.90879,0
70.5919,7.90879,0
70.6586,6.21697,3
70.7253,6.21697,3
70.7921,6.21697,3
70.8588,6.21697,3
70.9255,6.21697,3
70.9923,6.21697,3
71.059,6.21697,3
71.1257,6.21697,3
71.1925,6.21697,3
71.2592,6.21697,3
71.3259,6.21697,3
71.3927,6.21697,3
71.4594,6.21697,3
71.5261,6.21697,3
71.5929,6.21697,3
71.6596,6.21697,3
71.7263,6.21697,3
71.7931,6.21697,3
71.8598,6.21697,3
71.9265,6.21697,3
71.9933,6.21697,3
72.06,4.87735,7
72.1267,4.87735,7
72.1935,4.87735,7
72.2602,4.15535,15
72.3269,1.2017,10
72.3937,3.8,19
72.4604,3.8,19
72.5271,1.74451,0
72.5939,1.74451,0
72.6606,1.74451,0
72.7273,1.35897,2
72.7941,6.38319,7
72.8608,2.44362,16
72.9275,8.12348,6
72.9943,5.21444,5
73.061,4.42981,13
73.1277,4.29699,79
73.1945,4.78097,42
73.2612,5.34468,26
73.3279,1.51471,4
73.3947,3.23644,42
73.4614,2.27994,117
73.5281,2.27994,117
73.5949,0.455522,0
73.6616,0.455522,0
73.7283,0.455522,0
73.7951,0.455522,0
73.8618,0.455522,0
73.9285,0.455522,0
73.9953,0.455522,0
74.062,0.455522,0
74.1287,0.455522,0
74.1955,0.455522,0
74.2622,0.455522,0
74.3289,0.455522,0
74.3957,4.34803,2
74.4624,4.34803,2
74.5291,4.34803,2
74.5959,4.34803,2
74.6626,4.34803,2
74.7293,4.34803,2
74.7961,4.04015,2
74.8628,4.04015,2
74.9295,1.77814,4
74.9963,1.77814,4
75.063,1.77814,4
75.1297,1.77814,4
75.1965,1.77814,4
75.2632,1.77814,4
75.3299,1.77814,4
75.3967,1.77814,4
75.4634,1.77814,4
75.5301,1.77814,4
75.5969,1.77814,4
75.6636,1.48875,0
75.7303,1.48875,0
75.7971,2.59266,1
75.8638,2.59266,1
75.9305,2.59266,1
75.9973,2.59266,1
76.064,2.59266,1
76.1307,2.59266,1
