t,reproj_rms_px,reproj_feats
40.4284,5.09306,12
40.4951,3.76222,11
40.5619,3.19709,13
40.6286,4.18765,6
40.6953,2.07257,7
40.7621,4.07202,26
40.8288,2.20285,13
40.8955,3.33916,33
40.9623,2.73518,56
41.029,3.22936,14
41.0957,3.57276,8
41.1625,3.49266,21
41.2292,3.80447,65
41.2959,3.43369,7
41.3627,2.95663,16
41.4294,4.11016,27
41.4961,1.92253,5
41.5629,3.54568,13
41.6296,4.27832,19
41.6963,2.68212,23
41.7631,3.29685,26
41.8298,4.05265,8
41.8965,7.13875,19
41.9633,2.24182,17
42.03,2.66438,5
42.0967,2.37433,7
42.1635,4.6157,3
42.2302,4.36592,11
42.2969,8.31117,115
42.3637,7.07365,59
42.4304,9.88437,114
42.4971,6.00999,51
42.5639,6.61689,40
42.6306,10.7196,131
42.6973,10.807,89
42.7641,9.53331,12
42.8308,13.4785,5
42.8975,9.92529,11
42.9643,13.372,8
43.031,9.70865,56
43.0977,8.68246,12
43.1645,10.8424,28
43.2312,6.24005,12
43.2979,10.6764,26
43.3647,9.81995,23
43.4314,8.98708,34
43.4981,4.21578,9
43.5649,6.44595,34
43.6316,10.1369,45
43.6983,4.3769,52
43.7651,3.87377,66
43.8318,5.87579,45
43.8985,4.46471,42
43.9653,6.54046,8
44.032,5.00693,76
44.0987,3.25059,37
44.1655,4.11131,41
44.2322,4.61948,9
44.2989,3.27994,17
44.3657,3.44771,3
44.4324,4.0041,11
44.4991,3.7816,17
44.5659,3.45908,14
44.6326,3.01919,50
44.6993,3.84226,17
44.7661,4.04447,15
44.8328,2.82576,30
44.8995,3.19262,5
44.9663,3.95511,13
45.033,2.85527,4
45.0997,4.54989,0
45.1665,4.5062,3
45.2332,3.67929,2
45.2999,2.13584,8
45.3667,2.10116,7
45.4334,6.67349,28
45.5001,5.43377,13
45.5669,6.15428,31
45.6336,6.019,66
45.7003,8.24228,0
45.7671,6.45264,19
45.8338,5.83677,2
45.9005,10.9546,8
45.9673,12.4009,21
46.034,10.3621,13
46.1007,11.9844,5
46.1675,10.018,34
46.2342,7.92104,43
46.3009,4.91366,5
46.3677,4.92951,9
46.4344,11.4131,16
46.5011,7.89243,33
46.5679,9.16032,18
46.6346,5.62129,9
46.7013,5.30935,46
46.7681,4.44706,10
46.8348,5.75078,18
46.9015,3.77763,7
46.9683,5.30188,14
47.035,3.73509,13
47.1017,4.90978,14
47.1685,4.51573,24
47.2352,3.33612,14
47.3019,5.66846,16
47.3687,3.58527,28
47.4354,2.88466,4
47.5021,4.55759,41
47.5689,4.6646,0
47.6356,3.39282,9
47.7023,4.23278,29
47.7691,6.39644,68
47.8358,4.08897,48
47.9025,4.32021,62
47.9693,5.52715,23
48.036,3.73582,31
48.1027,3.46361,16
48.1695,5.30985,6
48.2362,1.82767,3
48.3029,4.69348,68
48.3697,3.96089,19
48.4364,3.60138,35
48.5031,6.36655,13
48.5699,4.42316,3
48.6366,5.79083,7
48.7033,5.95306,41
48.7701,6.44722,24
48.8368,4.33946,14
48.9035,4.75421,38
48.9703,3.33904,12
49.037,6.16871,22
49.1037,4.38218,49
49.1705,4.10739,8
49.2372,2.54322,4
49.3039,2.9053,72
49.3707,2.92846,33
49.4374,2.1996,18
49.5041,1.95796,74
49.5709,3.24552,41
49.6376,2.21215,15
49.7043,1.46513,6
49.7711,3.20084,25
49.8378,2.69991,10
49.9045,2.50564,22
49.9713,5.66424,0
50.038,2.8628,1
50.1047,3.33129,36
50.1715,2.36511,18
50.2382,3.09786,18
50.3049,3.48211,26
50.3717,4.18481,31
50.4384,3.4921,30
50.5051,1.67129,11
50.5719,2.57333,11
50.6386,2.29863,12
50.7053,3.26018,16
50.7721,3.12832,52
50.8388,3.93061,37
50.9055,3.34676,19
50.9723,2.72242,25
51.039,2.49252,77
51.1057,4.32249,57
51.1725,5.062,30
51.2392,5.67786,146
51.3059,6.47314,36
51.3727,9.04361,90
51.4394,17.5917,96
51.5061,15.6731,19
51.5729,7.6306,8
51.6396,10.6291,12
51.7063,14.1776,38
51.7731,14.0836,17
51.8398,19.4878,24
51.9065,10.0945,31
51.9733,8.94346,24
52.04,7.97912,22
52.1067,9.29115,45
52.1735,4.92914,6
52.2402,7.68369,11
52.3069,6.46569,26
52.3737,5.40739,25
52.4404,3.20191,15
52.5071,17.0473,18
52.5739,7.01338,30
52.6406,8.45496,52
52.7073,7.56906,31
52.7741,5.92064,23
52.8408,10.2158,17
52.9075,5.81651,38
52.9743,4.02351,31
53.041,4.36801,30
53.1077,3.90245,31
53.1745,2.24499,3
53.2412,2.5483,6
53.3079,6.11657,36
53.3747,2.70543,41
53.4414,3.68042,54
53.5081,3.56305,14
53.5749,3.21528,18
53.6416,3.50632,46
53.7083,3.62807,26
53.7751,3.64912,62
53.8418,4.27724,27
53.9085,3.78584,58
53.9753,3.13921,40
54.042,3.6198,41
54.1087,3.83331,34
54.1755,4.2414,36
54.2422,3.74545,58
54.3089,3.03193,55
54.3757,3.65407,47
54.4424,3.23232,17
54.5091,4.10952,51
54.5759,4.09834,25
54.6426,5.43161,32
54.7093,5.52515,84
54.7761,4.10383,57
54.8428,3.31982,35
54.9095,5.21587,60
54.9763,3.22572,28
55.043,3.68087,42
55.1097,3.21347,62
55.1765,4.34978,79
55.2432,5.31134,34
55.3099,5.84755,39
55.3767,4.20962,67
55.4434,3.32603,21
55.5101,4.36995,8
55.5769,2.61357,3
55.6436,7.8459,9
55.7103,4.95516,2
55.7771,4.49161,14
55.8438,3.32464,22
55.9105,6.82863,8
55.9773,4.63853,32
56.044,4.89406,32
56.1107,3.47286,7
56.1775,2.52343,12
56.2442,6.40116,76
56.3109,4.84975,17
56.3777,7.93988,132
56.4444,7.93988,132
56.5111,7.46448,37
56.5779,6.32815,26
56.6446,7.1468,37
56.7113,7.69563,27
56.7781,7.42378,57
56.8448,7.10671,65
56.9115,5.76447,7
56.9783,6.69784,32
57.045,4.90478,43
57.1117,3.50033,10
57.1785,3.34407,8
57.2452,4.32469,12
57.3119,4.00374,4
57.3787,1.25946,1
57.4454,1.25946,1
57.5121,4.03539,16
57.5789,4.90487,21
57.6456,6.21648,27
57.7123,3.3333,8
57.7791,3.696,18
57.8458,10.7366,10
57.9125,4.70814,26
57.9793,7.16849,13
58.046,5.3191,37
58.1127,4.17043,8
58.1795,4.24474,29
58.2462,5.12163,22
58.3129,2.19811,8
58.3797,2.85222,17
58.4464,3.39153,32
58.5131,2.47922,12
58.5799,3.7005,38
58.6466,3.4932,58
58.7133,2.09739,23
58.7801,3.42347,73
58.8468,3.08387,19
58.9135,6.15499,20
58.9803,3.38119,13
59.047,2.81377,7
59.1137,7.76302,45
59.1805,5.11394,32
59.2472,3.48899,5
59.3139,3.58643,13
59.3807,1.82475,5
59.4474,2.50915,18
59.5141,3.28402,17
59.5809,3.58823,3
59.6476,3.50351,22
59.7143,4.57528,7
59.7811,4.03348,8
59.8478,3.64577,24
59.9145,2.92884,15
59.9813,4.01482,9
60.048,2.71946,14
60.1147,3.3993,10
60.1815,3.72906,87
60.2482,2.31141,19
60.3149,2.31141,19
60.3817,8.71642,11
60.4484,1.99241,1
60.5151,5.57066,16
60.5819,5.89459,25
60.6486,4.40639,41
60.7153,7.39511,169
60.7821,8.50194,76
60.8488,7.1024,41
60.9155,7.32055,21
60.9823,9.3077,85
61.049,6.47743,18
61.1157,2.85371,16
61.1825,3.38818,21
61.2492,3.54413,17
61.3159,5.70411,19
61.3827,6.06229,55
61.4494,4.52901,14
61.5161,1.92218,5
61.5829,4.14045,15
61.6496,4.48966,44
61.7163,3.54789,2
61.7831,4.62038,7
61.8498,3.2995,17
61.9165,2.37762,12
61.9833,5.37448,13
62.05,3.22996,26
62.1167,4.67458,6
62.1835,3.27003,16
62.2502,2.94626,18
62.3169,2.78774,22
62.3837,1.55988,11
62.4504,2.13246,48
62.5171,2.16369,2
62.5839,2.61469,37
62.6506,2.82433,11
62.7173,3.35856,32
62.7841,2.05695,12
62.8508,3.02557,3
62.9175,1.84885,0
62.9843,3.42988,16
63.051,1.25514,0
63.1177,3.21042,5
63.1845,2.34995,30
63.2512,3.58659,5
63.3179,1.35741,7
63.3847,1.17683,17
63.4514,4.12394,39
63.5181,4.08335,59
63.5849,3.45287,96
63.6516,1.57439,38
63.7183,3.88398,16
63.7851,4.12181,34
63.8518,2.31844,68
63.9185,2.85826,43
63.9853,2.30807,20
64.052,3.08973,27
64.1187,2.28618,28
64.1855,3.95408,28
64.2522,2.6885,169
64.3189,2.85639,87
64.3857,3.03529,39
64.4524,4.62858,39
64.5191,4.71622,20
64.5859,3.09146,6
64.6526,2.25806,23
64.7193,2.06272,12
64.7861,2.05361,22
64.8528,2.00972,4
64.9195,2.52361,87
64.9863,2.22047,22
65.053,2.25362,74
65.1197,3.92663,12
65.1865,6.83404,18
65.2532,3.33999,35
65.3199,6.16923,58
65.3867,5.75286,127
65.4534,5.93112,130
65.5201,9.62458,42
65.5869,5.13714,136
65.6536,4.22395,63
65.7203,6.4622,42
65.7871,5.79254,107
65.8538,5.21942,37
65.9205,5.83799,21
65.9873,5.86057,26
66.054,4.80788,47
66.1207,5.68411,16
66.1875,5.69285,27
66.2542,5.43613,13
66.3209,4.45694,7
66.3877,7.87782,18
66.4544,8.44326,51
66.5211,2.10466,6
66.5879,9.91776,35
66.6546,4.74182,9
66.7213,11.5775,67
66.7881,12.4948,43
66.8548,9.18967,23
66.9215,14.5887,11
66.9883,8.46878,30
67.055,9.58794,24
67.1217,9.74465,9
67.1885,6.31792,37
67.2552,8.63463,6
67.3219,9.3176,12
67.3887,8.93706,17
67.4554,6.70188,11
67.5221,12.1059,19
67.5889,6.80974,44
67.6556,5.40933,83
67.7223,4.84655,30
67.7891,5.44968,35
67.8558,4.68217,57
67.9225,2.643,11
67.9893,5.89826,39
68.056,3.13333,1
68.1227,2.88767,2
68.1895,2.24282,8
68.2562,3.31146,15
68.3229,2.69424,24
68.3897,3.8646,35
68.4564,2.58326,12
68.5231,2.45235,26
68.5899,3.39644,33
68.6566,1.61477,3
68.7233,3.64066,11
68.7901,3.27827,33
68.8568,3.13308,12
68.9235,2.73144,14
68.9903,3.39598,38
69.057,1.90294,10
69.1237,3.44275,21
69.1905,5.01789,20
69.2572,5.28286,52
69.3239,3.96497,39
69.3907,3.95473,26
69.4574,5.14059,24
69.5241,5.08781,28
69.5909,4.30816,23
69.6576,7.40052,89
69.7243,7.84921,64
69.7911,10.0122,117
69.8578,11.2042,77
69.9245,12.1543,42
69.9913,9.41443,23
