t,reproj_rms_px,reproj_feats
35.6903,2.93704,5
35.7571,2.64723,4
35.8238,2.64723,4
35.8905,4.60861,4
35.9573,2.9662,3
36.024,2.9662,3
36.0907,2.9662,3
36.1575,0.532722,0
36.2242,3.53594,13
36.2909,2.81163,3
36.3577,2.81163,3
36.4244,2.63525,13
36.4911,3.13959,14
36.5579,3.96208,9
36.6246,3.5267,18
36.6913,2.41844,12
36.7581,3.13865,7
36.8248,3.07432,13
36.8915,2.33239,5
36.9583,3.43626,20
37.025,2.20585,22
37.0917,2.36774,27
37.1585,2.68479,14
37.2252,2.92357,25
37.2919,2.90126,16
37.3587,2.94066,14
37.4254,3.62527,21
37.4921,3.11122,37
37.5589,3.47217,7
37.6256,2.19656,27
37.6923,3.40449,9
37.7591,2.72111,27
37.8258,2.88123,12
37.8925,2.74029,22
37.9593,3.26864,7
38.026,3.45063,9
38.0927,3.04862,13
38.1595,2.99675,2
38.2262,3.49865,3
38.2929,2.12499,5
38.3597,3.40313,2
38.4264,3.48647,18
38.4931,3.37539,19
38.5599,3.37737,11
38.6266,2.43504,11
38.6933,3.97524,9
38.7601,3.04936,29
38.8268,3.04936,29
38.8935,3.29592,8
38.9603,0.0537606,0
39.027,7.0315,89
39.0937,7.2889,56
39.1605,8.45608,36
39.2272,7.61998,45
39.2939,10.4821,70
39.3607,8.44907,34
39.4274,9.96356,10
39.4941,2.43945,8
39.5609,7.07068,42
39.6276,4.26157,12
39.6943,4.36123,15
39.7611,7.50155,34
39.8278,5.2179,5
39.8945,6.399,46
39.9613,2.34431,30
40.028,4.04352,11
40.0947,3.47441,12
40.1615,5.23942,17
40.2282,2.34189,18
40.2949,4.3849,36
40.3617,4.97609,25
40.4284,4.00984,32
40.4951,3.17774,2
40.5619,3.39182,12
40.6286,2.75003,14
40.6953,3.29221,9
40.7621,2.05689,8
40.8288,2.75057,20
40.8955,3.44663,20
40.9623,2.33767,62
41.029,2.28157,72
41.0957,2.77133,10
41.1625,3.76583,49
41.2292,2.25124,6
41.2959,2.13814,19
41.3627,2.42107,27
41.4294,2.67592,27
41.4961,3.33095,13
41.5629,2.86322,19
41.6296,2.33518,47
41.6963,1.56014,21
41.7631,2.81856,12
41.8298,3.03079,29
41.8965,2.46702,20
41.9633,2.94617,24
42.03,4.29864,43
42.0967,5.10396,53
42.1635,5.78925,74
42.2302,6.91916,114
42.2969,8.50905,137
42.3637,9.951,126
42.4304,10.7272,97
42.4971,15.7821,69
42.5639,21.0659,29
42.6306,11.0532,6
42.6973,17.0197,8
42.7641,17.4674,17
42.8308,20.1567,11
42.8975,13.0213,12
42.9643,16.8762,14
43.031,13.3793,6
43.0977,6.39298,13
43.1645,14.4436,29
43.2312,6.26987,19
43.2979,9.93353,26
43.3647,10.4941,29
43.4314,11.3791,27
43.4981,7.52432,20
43.5649,8.61106,44
43.6316,7.35187,11
43.6983,7.23223,39
43.7651,5.29109,35
43.8318,9.66264,26
43.8985,6.99117,31
43.9653,7.31969,138
44.032,6.68712,22
44.0987,5.68382,59
44.1655,4.44768,34
44.2322,5.46305,55
44.2989,5.64001,21
44.3657,4.42979,4
44.4324,2.42072,1
44.4991,1.94471,3
44.5659,1.041,2
44.6326,2.71421,7
44.6993,2.6623,17
44.7661,4.9022,18
44.8328,4.07837,53
44.8995,1.52284,10
44.9663,3.22591,7
45.033,4.45481,3
45.0997,3.09073,5
45.1665,3.52206,1
45.2332,4.74798,14
45.2999,3.49552,8
45.3667,4.57588,12
45.4334,3.86735,26
45.5001,4.42958,33
45.5669,7.64299,87
45.6336,6.59596,42
45.7003,7.60819,34
45.7671,9.39254,28
45.8338,7.54455,15
45.9005,9.54962,45
45.9673,9.22882,11
46.034,11.3931,34
46.1007,11.3931,34
46.1675,9.05909,5
46.2342,9.11616,13
46.3009,7.04655,29
46.3677,8.81603,15
46.4344,4.6551,17
46.5011,5.63901,61
46.5679,7.68752,17
46.6346,3.04943,17
46.7013,8.16143,9
46.7681,7.32408,5
46.8348,1.5957,0
46.9015,7.90263,6
46.9683,4.72791,21
