t,px,py,pz,qx,qy,qz,qw
15.1365,-3.92949,2.08559,-1.24824,-0.55755,-0.523685,-0.533889,0.360352
15.2032,-4.14226,2.19155,-1.30767,-0.56151,-0.513343,-0.541769,0.357312
15.2699,-4.42037,1.69369,-1.60863,-0.553208,-0.503929,-0.550652,0.369863
15.3367,-4.50225,1.82174,-1.70463,-0.561444,-0.486198,-0.556713,0.372105
15.4034,-4.81944,1.70905,-1.77674,-0.560008,-0.478757,-0.564258,0.372553
15.4701,-5.01437,1.82565,-1.82228,-0.565785,-0.47397,-0.565688,0.367746
15.5369,-5.29463,1.93169,-1.79745,-0.570237,-0.469407,-0.567394,0.364075
15.6036,-5.44705,2.00027,-1.8283,-0.574515,-0.456891,-0.56805,0.372158
15.6703,-5.66153,2.09828,-1.79868,-0.580262,-0.446094,-0.567751,0.376768
15.7371,-5.80073,2.2513,-1.85589,-0.567431,-0.456347,-0.572788,0.376409
15.8038,-6.14807,2.66009,-1.90648,-0.587823,-0.436127,-0.578318,0.360286
15.8705,-6.41074,2.81068,-1.95348,-0.593936,-0.428677,-0.578344,0.359157
15.9373,-6.73343,2.9919,-2.00409,-0.5995,-0.418934,-0.584018,0.352161
16.004,-7.00006,3.09874,-2.06509,-0.592757,-0.429108,-0.585487,0.348872
16.0707,-7.26523,3.22406,-2.10071,-0.586472,-0.428206,-0.588752,0.355051
16.1375,-7.53222,3.39115,-2.13417,-0.583506,-0.427282,-0.591948,0.355737
16.2042,-7.93747,3.49113,-2.25393,-0.596193,-0.412982,-0.591897,0.351649
16.2709,-8.13677,3.62886,-2.29144,-0.593167,-0.420532,-0.58617,0.357365
16.3377,-8.40983,3.81916,-2.26264,-0.596199,-0.421705,-0.579334,0.362055
16.4044,-8.69499,4.0073,-2.3056,-0.602287,-0.413241,-0.576852,0.365683
16.4711,-8.9449,4.16149,-2.39238,-0.603368,-0.407554,-0.577279,0.369588
16.5379,-9.2083,4.36178,-2.41194,-0.606602,-0.401209,-0.571996,0.379324
16.6046,-9.54778,4.31788,-2.56455,-0.602076,-0.39302,-0.577278,0.387028
16.6713,-9.94201,4.34705,-2.70048,-0.592681,-0.395428,-0.576934,0.399392
16.7381,-10.2445,4.53958,-2.86838,-0.604181,-0.377749,-0.572788,0.405198
16.8048,-10.6694,4.70913,-2.98185,-0.61229,-0.36432,-0.575315,0.401726
16.8715,-11.0534,4.86601,-3.03424,-0.618028,-0.358882,-0.57763,0.394447
16.9383,-11.4325,4.98714,-3.1576,-0.614468,-0.365313,-0.57971,0.391039
17.005,-11.6892,5.16027,-3.20715,-0.617802,-0.357772,-0.58147,0.390145
17.0717,-11.987,5.2451,-3.5003,-0.613891,-0.357234,-0.584045,0.392955
17.1385,-12.3583,5.33423,-3.63809,-0.611598,-0.358344,-0.583061,0.396959
17.2052,-12.6412,5.44092,-3.73954,-0.612487,-0.359781,-0.582957,0.394436
17.2719,-12.9139,5.66686,-3.79974,-0.61554,-0.349734,-0.586446,0.393545
17.3387,-13.155,5.79585,-3.86116,-0.615273,-0.34651,-0.588012,0.394477
17.4054,-13.207,5.8997,-3.95888,-0.619149,-0.336911,-0.591264,0.391858
17.4721,-13.3278,6.12835,-3.98769,-0.622143,-0.328717,-0.59161,0.393549
17.5389,-13.4942,6.23952,-4.00928,-0.623795,-0.32638,-0.593956,0.389324
17.6056,-13.7909,6.21594,-4.08028,-0.625918,-0.321401,-0.592934,0.391609
17.6723,-13.9217,6.21623,-4.09822,-0.626458,-0.318023,-0.59338,0.392825
17.7391,-13.9581,6.21445,-4.06478,-0.626066,-0.317456,-0.595987,0.389951
17.8058,-14.0351,6.19991,-4.05441,-0.626757,-0.31407,-0.596782,0.390369
17.8725,-13.9574,6.17006,-3.99782,-0.627034,-0.312258,-0.597075,0.390928
17.9393,-14.0421,6.07717,-4.0649,-0.627209,-0.311217,-0.597795,0.390376
18.006,-14.1812,6.08411,-4.12767,-0.627414,-0.31066,-0.598434,0.389511
18.0727,-14.3719,6.12818,-4.23876,-0.627836,-0.309951,-0.597724,0.390484
18.1395,-14.6959,6.20234,-4.40713,-0.630033,-0.306746,-0.595755,0.392482
18.2062,-14.9352,6.25939,-4.50319,-0.631,-0.304375,-0.594102,0.39527
18.2729,-15.1483,6.387,-4.56994,-0.633748,-0.298317,-0.592281,0.398213
18.3397,-15.3437,6.42702,-4.61465,-0.632117,-0.2987,-0.591137,0.402198
18.4064,-15.61,6.53022,-4.73608,-0.632628,-0.297082,-0.590761,0.403145
18.4731,-15.9068,6.53511,-4.89646,-0.634332,-0.297244,-0.590438,0.400815
18.5399,-16.1833,6.68559,-4.9842,-0.634843,-0.299121,-0.592342,0.395767
18.6066,-16.3884,6.8171,-5.05392,-0.635553,-0.300231,-0.59609,0.388086
18.6733,-16.5719,6.85623,-5.11971,-0.638329,-0.297295,-0.596695,0.384847
18.7401,-16.8416,6.75528,-5.30936,-0.639154,-0.298975,-0.596858,0.381912
